 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "2.3.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "25/07/2023"
 Time_of_run_____________________________________________________________ (time)________________________     "16:06"
 User____________________________________________________________________ (username)____________________     "james"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Run Title (change this line using input variable 'runtitle')
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v2.3.0-hotfix"
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "HEAD"
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Move\ ford\ repository\ to\ new\ URL"
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/james/Documents/BLUEPRINT/bm2/eudemo/config/IN.DAT                                                                                                                                                "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             40
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             24
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      3.1670E-09 OP
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      2.4457E-10 OP
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             48 OP
 coheof_(final_value/initial_value)______________________________________ (xcm013)______________________      4.9245E-01
 coheof_(range_normalised)_______________________________________________ (nitvar013)___________________      1.0117E-01
 fjohc___________________________________________________________________ (itvar014)____________________      6.2287E-02
 fjohc_(final_value/initial_value)_______________________________________ (xcm014)______________________      1.0750E-01
 fjohc_(range_normalised)________________________________________________ (nitvar014)___________________      5.2815E-02
 fjohc0__________________________________________________________________ (itvar015)____________________      7.6629E-02
 fjohc0_(final_value/initial_value)______________________________________ (xcm015)______________________      1.4211E-01
 fjohc0_(range_normalised)_______________________________________________ (nitvar015)___________________      7.5704E-02
 fcohbop_________________________________________________________________ (itvar016)____________________      1.0000E+00
 fcohbop_(final_value/initial_value)_____________________________________ (xcm016)______________________      1.0732E+00
 fcohbop_(range_normalised)______________________________________________ (nitvar016)___________________      1.0000E+00
 gapoh___________________________________________________________________ (itvar017)____________________      5.0000E-02
 gapoh_(final_value/initial_value)_______________________________________ (xcm017)______________________      1.0000E+00
 gapoh_(range_normalised)________________________________________________ (nitvar017)___________________      0.0000E+00
 fvsbrnni________________________________________________________________ (itvar018)____________________      3.8414E-01
 fvsbrnni_(final_value/initial_value)____________________________________ (xcm018)______________________      9.7089E-01
 fvsbrnni_(range_normalised)_____________________________________________ (nitvar018)___________________      3.8353E-01
 fstrcase________________________________________________________________ (itvar019)____________________      1.0000E+00
 fstrcase_(final_value/initial_value)____________________________________ (xcm019)______________________      1.0000E+00
 fstrcase_(range_normalised)_____________________________________________ (nitvar019)___________________      1.0000E+00
 fstrcond________________________________________________________________ (itvar020)____________________      1.0000E+00
 fstrcond_(final_value/initial_value)____________________________________ (xcm020)______________________      1.0869E+00
 fstrcond_(range_normalised)_____________________________________________ (nitvar020)___________________      1.0000E+00
 fiooic__________________________________________________________________ (itvar021)____________________      6.3435E-01
 fiooic_(final_value/initial_value)______________________________________ (xcm021)______________________      9.9997E-01
 fiooic_(range_normalised)_______________________________________________ (nitvar021)___________________      6.3399E-01
 fvdump__________________________________________________________________ (itvar022)____________________      1.0000E+00
 fvdump_(final_value/initial_value)______________________________________ (xcm022)______________________      1.0000E+00
 fvdump_(range_normalised)_______________________________________________ (nitvar022)___________________      1.0000E+00
 vdalw___________________________________________________________________ (itvar023)____________________      1.0000E+01
 vdalw_(final_value/initial_value)_______________________________________ (xcm023)______________________      1.0000E+00
 vdalw_(range_normalised)________________________________________________ (nitvar023)___________________      1.0000E+00
 fjprot__________________________________________________________________ (itvar024)____________________      1.0000E+00
 fjprot_(final_value/initial_value)______________________________________ (xcm024)______________________      1.0000E+00
 fjprot_(range_normalised)_______________________________________________ (nitvar024)___________________      1.0000E+00
 ftmargtf________________________________________________________________ (itvar025)____________________      1.0000E+00
 ftmargtf_(final_value/initial_value)____________________________________ (xcm025)______________________      1.0000E+00
 ftmargtf_(range_normalised)_____________________________________________ (nitvar025)___________________      1.0000E+00
